;0;1;2;3;4;5;6;7
0;2194043;1917879;82382;0;0;0;0;0
1;1039157;2973272;181875;0;0;0;0;0
2;968897;722358;36305;1091133;0;0;1375611;0
3;428612;3593685;166953;0;0;0;5054;0
4;173083;2966242;78559;632273;0;0;344147;0
5;968404;3092352;120903;0;0;0;12645;0
6;684085;3193387;316832;0;0;0;0;0
7;0;504460;12411;3650624;0;0;26809;0
8;0;16535;0;4029134;0;0;148635;0
9;170994;3259855;255892;481435;0;0;26128;0
10;1710517;2337503;146284;0;0;0;0;0
11;253906;3165002;133974;575144;0;0;66278;0
12;0;723012;10793;3411858;0;0;48641;0
13;0;103894;160;3905291;0;0;184959;0
14;0;284063;0;3610508;0;0;299733;0
15;2405766;1739303;49235;0;0;0;0;0
16;2233903;1873031;87370;0;0;0;0;0
17;2114110;1701473;378721;0;0;0;0;0
18;1309949;2698057;186298;0;0;0;0;0
19;1413656;2700455;80193;0;0;0;0;0
20;3090862;1002522;71786;0;0;0;29134;0
21;1796017;2097224;301063;0;0;0;0;0
22;408833;3112471;673000;0;0;0;0;0
23;0;1030783;90874;2688010;0;0;384637;0
24;0;0;0;3974503;0;0;219801;0
25;2595404;1527265;71635;0;0;0;0;0
26;889185;2929091;140904;0;0;0;235124;0
27;2275987;1870614;30760;0;0;0;16943;0
28;1834267;2306042;53995;0;0;0;0;0
29;1412228;2635779;146297;0;0;0;0;0
30;881284;2854500;361397;97123;0;0;0;0
31;0;1336183;202124;2655997;0;0;0;0
32;0;237838;5128;3767455;0;0;183883;0
33;1212433;2803869;178002;0;0;0;0;0
34;1630905;2443619;119780;0;0;0;0;0
35;1244151;1846849;52702;951735;0;0;98867;0
36;1828619;2137515;65674;162496;0;0;0;0
37;1988006;2142911;63387;0;0;0;0;0
38;2163214;1750283;89137;0;0;0;191670;0
39;23292;1713054;65805;2077616;0;0;314537;0
40;0;1841765;9813;2084913;0;0;257813;0
41;1040841;2959918;193545;0;0;0;0;0
42;509131;2901793;284838;488026;0;0;10516;0
43;412235;1163521;18929;2520952;0;0;78667;0
44;865648;526376;3379;2245685;0;0;553216;0
45;777053;779183;16441;1082481;0;0;1539146;0
46;0;2875832;37607;1006588;0;0;274277;0
47;694274;2007955;528530;643027;0;0;305049;15469
48;1;3397800;383400;2099;0;0;81403;329601
49;1525942;2244517;423845;0;0;0;0;0
50;332715;2805325;873427;0;0;0;182837;0
51;1211057;2338011;645236;0;0;0;0;0
52;0;3214889;730484;0;0;0;45517;203414
53;0;3614625;199480;0;0;0;102957;277242
54;1095824;2072673;315012;7683;0;0;514310;188802
55;723506;2107635;1363163;0;0;0;0;0
56;464303;2767737;698207;0;0;0;264057;0
57;2050027;1658458;187805;0;0;0;290710;7304
58;1073884;41404;3207;2839704;0;0;236105;0
59;0;1318838;390914;2484552;0;0;0;0
60;0;1320819;88418;2248028;0;0;537039;0
61;0;300565;167034;3726705;0;0;0;0
62;174912;2996019;835714;20185;0;0;167474;0
63;23688;2774653;1395963;0;0;0;0;0
64;1232557;304910;3721;2355532;0;0;297584;0
65;179672;1420743;68948;2524941;0;0;0;0
66;0;107459;33368;4053477;0;0;0;0
67;0;160323;53456;3835690;0;0;144835;0
68;0;424913;131905;3637394;0;0;92;0
69;0;50865;111;4086765;0;0;56563;0
70;77505;52036;0;3832156;0;0;232607;0
71;662217;1207286;38419;1925852;0;0;360530;0
72;1310071;1258656;436358;356994;0;0;832225;0
73;29962;2952237;1212105;0;0;0;0;0
74;487677;2625956;1080671;0;0;0;0;0
